ticker,market,split,config_key,retest_line,entry_delay,signal_date,entry_date,exit_date,entry_index,exit_index,entry_price,exit_price,stop_price,target_price,exit_reason,gross_return_pct,return_pct,r_multiple,win,open_gap_vs_confirm_close_pct,pullback_volume_ratio,rebound_volume_ratio,smma200_slope_pct20,atr_tolerance,average_turnover_20,market_regime,earnings_distance_bars
XOM,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-10-06,2025-10-07,2025-10-10,553,556,111.574881,108.601375,108.601375,117.521891,stop,-2.665031,-2.765031,-1.037523,False,-0.113833,0.771856,0.719057,0.510651,0.5,1838349023.0173,BULL,18.0
MA,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-08-11,2025-08-12,2025-09-10,514,534,571.617953,575.791931,550.429979,613.993899,time,0.730204,0.630204,0.170019,True,0.277194,1.14677,0.813236,1.133759,0.5,1444765731.1017,BULL,-8.0
MA,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-01-07,2026-01-08,2026-01-12,617,619,574.691206,555.724201,555.724201,612.625217,stop,-3.300382,-3.400382,-1.0303,False,-0.415559,1.088394,1.339357,0.75212,0.5,1577439402.5616,BULL,14.0
BAC,US,test,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-04-29,2026-04-30,2026-05-06,694,698,52.338065,53.890004,51.562096,53.890004,target,2.96522,2.86522,1.932551,True,-0.510592,0.783859,0.766915,1.279954,0.5,1730432892.4009,BULL,-11.0
CVX,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-11-14,2025-11-17,2025-11-19,582,584,153.064951,147.591423,147.591423,164.012007,stop,-3.575951,-3.675951,-1.027965,False,0.063438,1.649215,1.130548,0.476328,0.5,1134581117.7767,BULL,-11.0
ABBV,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-02-13,2026-02-17,2026-03-17,643,663,229.114894,216.411438,214.727509,257.889666,time,-5.544579,-5.644579,-0.898883,False,0.501082,1.077139,1.076107,1.346393,0.5,1682163426.9872,BULL,-8.0
KO,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-01-22,2026-01-23,2026-02-03,627,634,71.069328,75.470448,68.868768,75.470448,target,6.192714,6.092714,1.967704,True,0.208707,1.402116,0.908565,0.60544,0.5,1066961483.0914,BULL,12.0
LIN,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-07-28,2025-07-29,2025-07-31,504,506,463.658683,452.321295,456.297785,478.380479,stop_gap,-2.445201,-2.545201,-1.603208,False,0.521968,0.834467,0.798443,0.655369,0.5,713094052.149,BULL,3.0
MCD,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-11-24,2025-11-25,2025-12-02,588,592,301.183657,296.392232,296.392232,310.766507,stop,-1.590865,-1.690865,-1.062859,False,0.606749,1.385426,1.148999,0.371776,0.5,978094823.5492,BULL,-14.0
PM,US,test,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-06-11,2026-06-12,2026-06-22,724,729,179.511738,170.982448,170.982448,196.570318,stop,-4.751383,-4.851383,-1.021047,False,0.127224,0.899276,1.253563,1.972171,0.5,804958604.193,BULL,26.0
DIS,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-01-15,2026-01-16,2026-01-16,623,623,112.3392,110.761295,110.761295,115.495009,stop,-1.40459,-1.50459,-1.071195,False,-0.18518,0.880264,0.821438,0.682287,0.5,1044182793.9061,BULL,10.0
ABT,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-09-05,2025-09-08,2025-09-10,532,534,129.272021,127.268367,127.268367,133.27933,stop,-1.549952,-1.649952,-1.064518,False,-0.511534,0.898123,0.617902,1.045327,0.5,674745617.5408,BULL,27.0
AMGN,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-10-15,2025-10-16,2025-10-27,560,567,291.719581,283.273451,283.273451,308.61184,stop,-2.895291,-2.995291,-1.034539,False,0.252262,0.655458,0.90674,0.127018,0.5,787666382.6419,BULL,13.0
AMGN,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-11-04,2025-11-05,2025-11-11,574,578,296.671773,326.28708,281.864119,326.28708,target,9.982516,9.882516,1.979965,True,2.167176,1.35872,1.684437,0.355015,0.5,612501990.7722,BULL,-1.0
VZ,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-08-04,2025-08-05,2025-08-18,509,518,40.203726,41.701422,39.454878,41.701422,target,3.725266,3.625266,1.946313,True,6e-06,1.291702,0.659737,0.791371,0.5,800470976.8921,BULL,-11.0
GS,US,test,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-04-15,2026-04-16,2026-05-14,684,704,894.049713,962.657415,861.543066,959.063007,target_gap,7.673813,7.573813,2.083071,True,-0.166763,2.111738,1.13047,2.242874,0.5,1832310198.1732,BULL,-3.0
BKNG,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-01-06,2026-01-07,2026-01-07,616,616,211.839371,217.419806,209.049153,217.419806,target,2.634277,2.534277,1.924078,True,-0.504454,0.77136,0.983321,1.20668,0.5,1136290327.6196,BULL,28.0
HON,US,test,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2026-06-25,2026-06-26,2026-06-29,733,734,240.723648,231.400101,231.400101,259.370743,stop,-3.873133,-3.973133,-1.025819,False,-0.739493,1.196183,1.105168,0.867318,0.5,1206013444.614,BULL,18.0
QCOM,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-09-04,2025-09-05,2025-09-24,531,544,157.667831,170.185969,151.408762,170.185969,target,7.939564,7.839564,1.97481,True,0.23167,1.072665,1.126656,0.15004,0.5,1053125027.0471,BULL,-26.0
SYK,US,train,L50|D1|ATR0.50|PVNone|RVNone|SNone,50,1,2025-08-26,2025-08-27,2025-09-03,525,529,390.365539,380.456429,380.456429,410.183759,stop,-2.538418,-2.638418,-1.039395,False,0.002541,0.664356,0.785226,0.760507,0.5,514573925.1955,BULL,-19.0
