ticker,market,date,dividend,split_ratio,raw_overnight_gap_pct,adjusted_overnight_gap_pct,absolute_gap_reduction_pct_point,raw_smma200_change_pct,adjusted_smma200_change_pct,smma200_jump_reduction_pct_point
ZTS,US,2026-01-20,0.53,0.0,-1.7008,-1.281,0.4197,-0.100692,-0.095388,0.005304
ZTS,US,2026-04-20,0.53,0.0,-0.6782,-0.2462,0.432,-0.078863,-0.072683,0.00618
ZTS,US,2026-07-20,0.53,0.0,-1.1364,-0.4472,0.6892,-0.205492,-0.199857,0.005636
CME,US,2023-09-07,1.1,0.0,0.0,0.5431,-0.5431,,,
CME,US,2023-12-07,1.1,0.0,-0.6068,-0.0938,0.5129,,,
CME,US,2023-12-27,5.25,0.0,-2.6536,-0.2147,2.4389,,,
CME,US,2024-03-07,1.15,0.0,0.0865,0.6132,-0.5267,,,
CME,US,2024-06-07,1.15,0.0,-0.0645,0.5092,-0.4446,-0.023977,-0.012289,0.011689
CME,US,2024-09-09,1.15,0.0,-0.2268,0.2963,-0.0696,0.026636,0.038902,-0.012266
CME,US,2024-12-09,1.15,0.0,-0.142,0.34,-0.198,0.056974,0.068835,-0.011861
CME,US,2024-12-27,5.8,0.0,-3.1353,-0.7283,2.407,0.045387,0.069994,-0.024606
CME,US,2025-03-07,1.25,0.0,-0.496,-0.004,0.492,0.079797,0.102813,-0.023017
CME,US,2025-06-09,1.25,0.0,-0.9845,-0.5311,0.4534,0.074745,0.092821,-0.018076
CME,US,2025-09-09,1.25,0.0,-0.6131,-0.1378,0.4754,0.034999,0.049222,-0.014223
CME,US,2025-12-12,1.25,0.0,-0.1505,0.3098,-0.1593,0.043438,0.055936,-0.012498
CME,US,2026-03-10,7.45,0.0,-3.0806,-0.7637,2.3169,0.085427,0.109274,-0.023847
CME,US,2026-06-09,1.3,0.0,-0.2658,0.2513,0.0146,-0.024855,-0.008771,0.016084
ICE,US,2023-09-14,0.42,0.0,0.3169,0.679,-0.3621,,,
ICE,US,2023-12-13,0.42,0.0,-0.1018,0.2553,-0.1535,,,
ICE,US,2024-03-14,0.45,0.0,-0.4292,-0.1022,0.327,,,
ICE,US,2024-06-13,0.45,0.0,-0.3822,-0.0516,0.3306,0.046618,0.050747,-0.004129
ICE,US,2024-09-16,0.45,0.0,0.062,0.3418,-0.2798,0.116976,0.121892,-0.004916
ICE,US,2024-12-16,0.45,0.0,-0.0321,0.2578,-0.2257,0.05574,0.060384,-0.004644
ICE,US,2025-03-17,0.48,0.0,-0.076,0.2052,-0.1292,0.09776,0.103001,-0.005241
ICE,US,2025-06-13,0.48,0.0,0.0,0.2688,-0.2688,0.088318,0.093502,-0.005185
ICE,US,2025-09-16,0.48,0.0,-0.3832,-0.1048,0.2784,0.037144,0.04191,-0.004766
ICE,US,2025-12-16,0.48,0.0,0.062,0.3604,-0.2985,0.003298,0.008052,-0.004755
ICE,US,2026-03-17,0.52,0.0,-0.1486,0.1739,-0.0253,0.00169,0.006776,-0.005086
ICE,US,2026-06-15,0.52,0.0,-0.37,0.0,0.37,-0.058468,-0.053511,0.004958
ECL,US,2023-09-18,0.53,0.0,-0.4158,-0.1184,0.2975,,,
ECL,US,2023-12-18,0.57,0.0,-0.2947,-0.0051,0.2896,,,
ECL,US,2024-03-18,0.57,0.0,0.1015,0.3538,-0.2523,,,
ECL,US,2024-06-18,0.57,0.0,-0.4934,-0.2597,0.2338,0.105309,0.108725,-0.003417
ECL,US,2024-09-17,0.57,0.0,-0.2528,-0.0277,0.2251,0.090053,0.093696,-0.003644
ECL,US,2024-12-17,0.65,0.0,0.161,0.4238,-0.2628,0.05249,0.056299,-0.00381
ECL,US,2025-03-18,0.65,0.0,-0.2303,0.0279,0.2024,0.051452,0.055607,-0.004155
ECL,US,2025-06-17,0.65,0.0,-0.9544,-0.7119,0.2425,0.053039,0.057351,-0.004313
ECL,US,2025-09-16,0.65,0.0,-0.4324,-0.1926,0.2397,0.037306,0.041552,-0.004247
ECL,US,2025-12-16,0.73,0.0,-0.0115,0.2688,-0.2574,0.016024,0.020363,-0.00434
ECL,US,2026-03-17,0.73,0.0,0.3808,0.6498,-0.269,0.024544,0.029096,-0.004551
ECL,US,2026-06-16,0.73,0.0,0.1564,0.4293,-0.273,0.026255,0.031016,-0.00476
HUM,US,2023-09-28,0.885,0.0,0.4093,0.5896,-0.1804,,,
HUM,US,2023-12-28,0.885,0.0,-0.1595,0.0366,0.1229,,,
HUM,US,2024-03-27,0.885,0.0,0.3444,0.6,-0.2556,,,
HUM,US,2024-06-28,0.885,0.0,2.5208,2.7714,-0.2506,-0.053352,-0.050732,0.00262
HUM,US,2024-09-30,0.885,0.0,0.3411,0.6197,-0.2786,-0.104948,-0.102094,0.002854
HUM,US,2024-12-31,0.885,0.0,-0.1534,0.1954,-0.042,-0.152268,-0.149046,0.003222
HUM,US,2025-03-28,0.885,0.0,-0.1553,0.1725,-0.0172,-0.111485,-0.107336,0.004149
HUM,US,2025-06-27,0.885,0.0,-0.421,-0.0523,0.3687,-0.117261,-0.112612,0.00465
