ticker,market,kind,profile,signal_date,price,target,return_pct_needed,predicted_confidence,predicted_days,hit,days_to_hit,stop_first,actionable,realized_return_pct,price_bucket,liquidity_bucket,volatility_bucket,average_turnover,atr_pct,next_open_gap_pct,trend_score,downside_risk_score,breakout_probability_pct,volatility_expanding,strategy_eligible
MA,US,pullback,pullback_ext,2025-06-16,564.3845825195312,713.9989,26.51,14.7,,False,,True,True,-2.87,over_500,liquid,normal,1333663139.34,1.696,-0.695,,,,,True
MA,US,risk,conservative,2025-07-09,561.6102294921875,583.59,3.91,60.3,11.6,True,27.0,False,True,3.66,over_500,liquid,normal,1999914985.21,2.224,0.096,4.0,0.0,45.4,False,True
MA,US,risk,balanced,2025-07-09,561.6102294921875,612.77,9.11,29.4,36.6,False,,False,False,,over_500,liquid,normal,1999914985.21,2.224,0.096,4.0,0.0,45.4,False,False
MA,US,risk,aggressive,2025-07-09,561.6102294921875,643.4749999999999,14.58,25.0,71.7,False,,False,False,,over_500,liquid,normal,1999914985.21,2.224,0.096,4.0,0.0,45.4,False,False
MA,US,pullback,pullback_main,2025-07-09,561.6102294921875,590.2285,5.1,38.6,,True,32.0,False,True,4.85,over_500,liquid,normal,1999914985.21,2.224,0.096,,,,,True
MA,US,pullback,pullback_ext,2025-07-09,561.6102294921875,688.2841,22.56,16.0,,False,,False,True,-1.8,over_500,liquid,normal,1999914985.21,2.224,0.096,,,,,True
MA,US,risk,conservative,2025-07-30,555.6474609375,565.06,1.69,57.2,13.0,True,1.0,False,True,-0.15,over_500,liquid,normal,1334755019.93,1.422,1.692,1.0,26.0,8.0,False,True
MA,US,risk,balanced,2025-07-30,555.6474609375,593.31,6.78,23.5,52.9,False,,False,False,,over_500,liquid,normal,1334755019.93,1.422,1.692,1.0,26.0,8.0,False,False
MA,US,risk,aggressive,2025-07-30,555.6474609375,622.975,12.12,9.9,137.1,False,,False,False,,over_500,liquid,normal,1334755019.93,1.422,1.692,1.0,26.0,8.0,False,False
MA,US,pullback,pullback_main,2025-07-30,555.6474609375,590.2285,6.22,32.4,,True,17.0,False,True,4.31,over_500,liquid,normal,1334755019.93,1.422,1.692,,,,,True
MA,US,pullback,pullback_ext,2025-07-30,555.6474609375,657.1009,18.26,12.9,,False,,True,True,-4.61,over_500,liquid,normal,1334755019.93,1.422,1.692,,,,,True
MA,US,risk,conservative,2025-08-20,589.009521484375,605.21,2.75,60.4,12.0,False,,True,True,-6.33,over_500,liquid,normal,1476802276.17,1.563,-0.614,4.0,0.0,63.0,False,True
MA,US,risk,balanced,2025-08-20,589.009521484375,635.47,7.89,33.7,41.1,False,,True,True,-3.18,over_500,liquid,normal,1476802276.17,1.563,-0.614,4.0,0.0,63.0,False,True
MA,US,risk,aggressive,2025-08-20,589.009521484375,667.245,13.28,17.7,91.5,False,,True,True,-2.36,over_500,liquid,normal,1476802276.17,1.563,-0.614,4.0,0.0,63.0,False,True
MA,US,pullback,pullback_main,2025-08-20,589.009521484375,596.1308,1.21,35.2,,True,2.0,False,True,1.68,over_500,liquid,normal,1476802276.17,1.563,-0.614,,,,,True
MA,US,pullback,pullback_ext,2025-08-20,589.009521484375,631.5556,7.22,14.5,,False,,True,True,-2.68,over_500,liquid,normal,1476802276.17,1.563,-0.614,,,,,True
MA,US,risk,conservative,2025-09-11,585.0840454101562,595.96,1.86,58.5,9.4,False,,True,True,-1.55,over_500,liquid,normal,1366329275.62,1.484,-0.389,2.0,42.0,59.0,False,True
MA,US,risk,balanced,2025-09-11,585.0840454101562,625.76,6.95,25.1,36.9,False,,False,False,,over_500,liquid,normal,1366329275.62,1.484,-0.389,2.0,42.0,59.0,False,False
MA,US,risk,aggressive,2025-09-11,585.0840454101562,657.0450000000001,12.3,14.3,93.0,False,,False,False,,over_500,liquid,normal,1366329275.62,1.484,-0.389,2.0,42.0,59.0,False,False
MA,US,pullback,pullback_main,2025-09-11,585.0840454101562,598.0433,2.21,36.9,,False,,True,True,-2.74,over_500,liquid,normal,1366329275.62,1.484,-0.389,,,,,True
MA,US,pullback,pullback_ext,2025-09-11,585.0840454101562,672.7304,14.98,15.5,,False,,True,True,-2.74,over_500,liquid,normal,1366329275.62,1.484,-0.389,,,,,True
MA,US,risk,conservative,2025-10-02,573.7546997070312,587.175,2.34,56.4,13.8,False,,True,True,-2.86,over_500,liquid,normal,1637615885.29,1.636,-0.156,1.0,24.0,12.4,False,True
MA,US,risk,balanced,2025-10-02,573.7546997070312,616.535,7.46,23.1,50.1,False,,False,False,,over_500,liquid,normal,1637615885.29,1.636,-0.156,1.0,24.0,12.4,False,False
MA,US,risk,aggressive,2025-10-02,573.7546997070312,647.36,12.83,11.0,117.0,False,,False,False,,over_500,liquid,normal,1637615885.29,1.636,-0.156,1.0,24.0,12.4,False,False
